student_id,school_id,class,subject,topic,prerequisite_topic,prerequisite_score,days_since_prerequisite,num_attempts,avg_time_per_attempt,time_on_task,score,score_variance,hint_usage_count,video_rewatch_count,help_seeking_behavior,session_count,attempt_pattern,difficulty_score,struggle_reason,recommended_action
S_A_022,A,5,Maths,Algebra,Arithmetic,30.8,8,1,34.9,34.9,36.8,0.0,8,1,0,5,insufficient_data,0.632,prerequisite_gap,revisit_prerequisite_topic
S_A_023,A,5,Maths,Algebra,Arithmetic,51.3,11,3,43.5,130.5,55.6,44.91,0,4,0,1,stuck,0.444,prerequisite_gap,revisit_prerequisite_topic
S_A_024,A,5,Maths,Algebra,Arithmetic,53.6,54,6,50.5,303.0,50.4,37.06,1,0,1,5,stuck,0.496,prerequisite_gap,revisit_prerequisite_topic
S_A_025,A,5,Maths,Geometry,Algebra,69.0,28,5,34.8,174.0,72.3,12.04,8,5,0,3,stuck,0.277,none,maintain_current_pace
S_A_026,A,5,Maths,Geometry,Algebra,21.4,84,1,5.0,5.0,27.4,0.0,1,1,0,1,insufficient_data,0.726,prerequisite_gap,revisit_prerequisite_topic
S_A_027,A,5,Maths,Geometry,Algebra,61.5,37,4,20.5,82.0,56.8,30.0,0,0,0,6,declining,0.432,unstable_understanding,spaced_repetition_practice
S_A_028,A,5,Maths,Geometry,Algebra,64.8,55,5,56.7,283.5,64.3,50.29,1,0,0,6,declining,0.357,unstable_understanding,spaced_repetition_practice
S_A_029,A,5,Maths,Geometry,Algebra,39.8,20,1,51.7,51.7,29.8,0.0,4,2,1,1,insufficient_data,0.702,prerequisite_gap,revisit_prerequisite_topic
S_A_030,A,5,Maths,Geometry,Algebra,69.5,46,4,19.7,78.8,43.0,142.63,2,1,1,2,declining,0.57,forgetting,schedule_revision_session
S_A_031,A,5,Maths,Geometry,Algebra,65.0,43,7,31.2,218.4,70.4,66.48,3,1,0,4,stuck,0.296,none,maintain_current_pace
S_A_032,A,5,Maths,Geometry,Algebra,42.4,30,4,72.5,290.0,58.0,62.45,8,3,0,6,stuck,0.42,prerequisite_gap,revisit_prerequisite_topic
S_A_033,A,5,Maths,Geometry,Algebra,59.0,69,6,46.5,279.0,54.7,11.08,5,3,1,5,stuck,0.453,conceptual_misunderstanding,assign_worked_examples
S_A_034,A,5,Maths,Geometry,Algebra,90.8,25,5,70.6,353.0,90.4,55.41,3,2,0,4,declining,0.096,none,maintain_current_pace
S_A_035,A,5,Maths,Geometry,Algebra,86.1,43,6,50.7,304.2,68.3,21.63,3,3,0,6,stuck,0.317,conceptual_misunderstanding,assign_worked_examples
S_A_036,A,5,Maths,Geometry,Algebra,40.4,49,3,19.2,57.6,38.8,0.73,5,3,1,6,stuck,0.612,prerequisite_gap,revisit_prerequisite_topic
S_A_037,A,5,Maths,Trigonometry,Geometry,80.6,28,8,52.2,417.6,32.7,40.14,4,1,1,2,stuck,0.673,conceptual_misunderstanding,assign_worked_examples
S_A_038,A,5,Maths,Trigonometry,Geometry,75.3,61,2,37.9,75.8,36.4,63.47,6,3,0,2,declining,0.636,conceptual_misunderstanding,assign_worked_examples
S_A_039,A,5,Maths,Trigonometry,Geometry,48.9,84,1,73.8,73.8,33.3,0.0,3,1,1,6,insufficient_data,0.667,prerequisite_gap,revisit_prerequisite_topic
S_A_040,A,5,Maths,Trigonometry,Geometry,41.4,67,8,53.0,424.0,51.3,75.43,8,3,1,5,stuck,0.487,prerequisite_gap,revisit_prerequisite_topic
S_A_041,A,5,Maths,Trigonometry,Geometry,52.0,61,8,39.9,319.2,52.9,35.64,5,4,0,2,stuck,0.471,prerequisite_gap,revisit_prerequisite_topic
S_A_042,A,5,Maths,Trigonometry,Geometry,76.0,30,7,21.5,150.5,44.8,32.49,0,4,0,1,stuck,0.552,conceptual_misunderstanding,assign_worked_examples
S_A_043,A,5,Maths,Trigonometry,Geometry,48.6,46,5,36.1,180.5,22.3,34.84,3,2,1,1,declining,0.777,prerequisite_gap,revisit_prerequisite_topic
S_A_044,A,5,Maths,Trigonometry,Geometry,54.3,50,6,13.2,79.2,31.4,149.78,0,0,1,2,stuck,0.686,prerequisite_gap,revisit_prerequisite_topic
S_A_045,A,5,Maths,Trigonometry,Geometry,69.6,34,7,23.2,162.4,55.6,124.83,7,0,0,6,stuck,0.444,conceptual_misunderstanding,assign_worked_examples
S_A_046,A,5,Maths,Trigonometry,Geometry,0.0,45,4,8.6,34.4,9.6,37.61,0,4,0,2,improving,0.904,prerequisite_gap,revisit_prerequisite_topic
S_A_047,A,5,Maths,Trigonometry,Geometry,58.3,61,2,18.9,37.8,53.0,18.96,2,4,1,6,declining,0.47,forgetting,schedule_revision_session
S_A_048,A,5,Maths,Trigonometry,Geometry,55.8,21,5,5.0,25.0,58.4,34.99,3,0,0,5,stuck,0.416,unstable_understanding,spaced_repetition_practice
S_A_049,A,5,Maths,Statistics,Trigonometry,52.8,14,5,5.0,25.0,66.0,118.89,6,5,0,3,stuck,0.34,prerequisite_gap,revisit_prerequisite_topic
S_A_050,A,5,Maths,Statistics,Trigonometry,85.6,2,7,50.2,351.4,75.2,65.76,4,4,0,5,stuck,0.248,none,maintain_current_pace
S_A_051,A,5,Maths,Statistics,Trigonometry,65.1,76,5,7.4,37.0,55.9,49.73,6,2,0,1,stuck,0.441,conceptual_misunderstanding,assign_worked_examples
S_A_052,A,5,Maths,Statistics,Trigonometry,46.1,63,4,35.8,143.2,43.3,21.47,8,1,0,6,stuck,0.567,prerequisite_gap,revisit_prerequisite_topic
S_A_053,A,5,Maths,Statistics,Trigonometry,46.3,53,8,17.6,140.8,46.7,45.29,5,3,1,3,improving,0.533,prerequisite_gap,revisit_prerequisite_topic
S_A_054,A,5,Maths,Statistics,Trigonometry,35.4,43,6,53.7,322.2,41.0,37.92,2,1,0,4,stuck,0.59,prerequisite_gap,revisit_prerequisite_topic
S_A_055,A,5,Maths,Statistics,Trigonometry,55.2,36,5,81.9,409.5,51.9,35.0,0,4,0,2,stuck,0.481,conceptual_misunderstanding,assign_worked_examples
S_A_056,A,5,Maths,Statistics,Trigonometry,65.9,82,8,38.1,304.8,62.7,79.96,7,0,0,5,stuck,0.373,unstable_understanding,spaced_repetition_practice
S_A_057,A,5,Maths,Statistics,Trigonometry,57.9,20,5,29.0,145.0,66.6,19.03,8,3,0,4,stuck,0.334,conceptual_misunderstanding,assign_worked_examples
S_A_058,A,5,Maths,Statistics,Trigonometry,74.7,76,7,23.6,165.2,59.0,62.43,2,1,0,2,stuck,0.41,forgetting,schedule_revision_session
S_A_059,A,5,Maths,Statistics,Trigonometry,52.1,53,8,30.3,242.4,47.4,44.89,3,3,0,2,stuck,0.526,prerequisite_gap,revisit_prerequisite_topic
S_A_060,A,5,Maths,Statistics,Trigonometry,93.7,83,3,74.3,222.9,61.3,14.81,4,3,0,1,declining,0.387,forgetting,schedule_revision_session
S_A_061,A,5,Maths,Probability,Statistics,90.0,60,5,16.4,82.0,40.4,20.29,4,0,0,6,stuck,0.596,forgetting,schedule_revision_session
S_A_062,A,5,Maths,Probability,Statistics,68.6,74,1,72.3,72.3,62.7,0.0,2,3,0,5,insufficient_data,0.373,forgetting,schedule_revision_session
S_A_063,A,5,Maths,Probability,Statistics,67.1,84,8,48.7,389.6,57.1,32.05,5,3,0,6,stuck,0.429,conceptual_misunderstanding,assign_worked_examples
S_A_064,A,5,Maths,Probability,Statistics,35.5,52,1,36.0,36.0,32.0,0.0,5,0,1,4,insufficient_data,0.68,prerequisite_gap,revisit_prerequisite_topic
S_A_065,A,5,Maths,Probability,Statistics,84.2,1,8,5.0,40.0,63.0,66.06,7,0,0,1,stuck,0.37,conceptual_misunderstanding,assign_worked_examples
S_A_066,A,5,Maths,Probability,Statistics,53.5,81,4,29.6,118.4,41.9,31.96,1,3,1,6,stuck,0.581,prerequisite_gap,revisit_prerequisite_topic
S_A_067,A,5,Maths,Probability,Statistics,72.4,38,5,9.5,47.5,50.0,24.45,8,5,1,1,stuck,0.5,guessing,enforce_reflection_before_submit
S_A_068,A,5,Maths,Probability,Statistics,56.8,54,6,78.6,471.6,72.6,40.33,2,3,0,5,stuck,0.274,none,maintain_current_pace
S_A_069,A,5,Maths,Probability,Statistics,61.9,62,6,14.0,84.0,81.2,150.88,6,0,0,3,improving,0.188,none,maintain_current_pace
S_A_070,A,5,Maths,Probability,Statistics,61.1,49,7,5.0,35.0,85.1,12.99,1,3,0,1,stuck,0.149,none,maintain_current_pace
S_A_071,A,5,Maths,Probability,Statistics,42.4,19,7,30.5,213.5,75.7,77.52,5,5,0,5,stuck,0.243,none,maintain_current_pace
S_A_072,A,5,Maths,Probability,Statistics,50.5,63,1,49.9,49.9,44.7,0.0,4,1,1,4,insufficient_data,0.553,prerequisite_gap,revisit_prerequisite_topic
S_A_073,A,5,Science,Physics,none,100.0,0,2,37.5,75.0,56.6,0.27,4,0,0,1,stuck,0.434,low_engagement,increase_interactive_activities
S_A_074,A,5,Science,Physics,none,100.0,0,6,41.0,246.0,68.0,18.41,1,4,0,4,stuck,0.32,conceptual_misunderstanding,assign_worked_examples
S_A_075,A,5,Science,Physics,none,100.0,0,4,5.0,20.0,80.3,66.63,7,2,0,6,stuck,0.197,none,maintain_current_pace
S_A_076,A,5,Science,Physics,none,100.0,0,3,88.9,266.7,96.2,4.15,7,2,0,2,stuck,0.038,none,maintain_current_pace
S_A_077,A,5,Science,Physics,none,100.0,0,7,26.0,182.0,84.3,54.03,6,2,0,1,stuck,0.157,none,maintain_current_pace
S_A_078,A,5,Science,Physics,none,100.0,0,1,70.0,70.0,66.8,0.0,3,4,0,3,insufficient_data,0.332,conceptual_misunderstanding,assign_worked_examples
S_A_079,A,5,Science,Physics,none,100.0,0,4,5.0,20.0,66.3,4.34,1,5,0,6,stuck,0.337,conceptual_misunderstanding,assign_worked_examples
S_A_080,A,5,Science,Physics,none,100.0,0,1,5.0,5.0,74.1,0.0,5,5,0,2,insufficient_data,0.259,none,maintain_current_pace
S_A_081,A,5,Science,Physics,none,100.0,0,2,53.7,107.4,72.8,13.44,8,2,0,5,improving,0.272,none,maintain_current_pace
S_A_082,A,5,Science,Physics,none,100.0,0,5,44.3,221.5,69.9,45.06,1,1,0,2,stuck,0.301,conceptual_misunderstanding,assign_worked_examples
S_A_083,A,5,Science,Physics,none,100.0,0,7,45.5,318.5,100.0,21.12,4,4,0,4,stuck,0.0,none,maintain_current_pace
S_A_084,A,5,Science,Physics,none,100.0,0,6,49.2,295.2,86.9,83.31,7,5,0,3,stuck,0.131,none,maintain_current_pace
S_A_085,A,5,Science,Chemistry,Physics,56.7,6,1,25.0,25.0,50.3,0.0,1,1,1,2,insufficient_data,0.497,low_engagement,increase_interactive_activities
S_A_086,A,5,Science,Chemistry,Physics,48.7,90,7,50.5,353.5,31.2,48.64,5,1,1,2,stuck,0.688,prerequisite_gap,revisit_prerequisite_topic
S_A_087,A,5,Science,Chemistry,Physics,67.1,88,6,26.0,156.0,22.1,23.28,3,5,1,1,stuck,0.779,forgetting,schedule_revision_session
S_A_088,A,5,Science,Chemistry,Physics,45.8,7,6,35.5,213.0,58.0,46.97,5,1,0,5,improving,0.42,prerequisite_gap,revisit_prerequisite_topic
S_A_089,A,5,Science,Chemistry,Physics,97.6,19,3,35.9,107.7,52.7,49.97,2,0,0,2,improving,0.473,conceptual_misunderstanding,assign_worked_examples
S_A_090,A,5,Science,Chemistry,Physics,59.3,34,1,32.6,32.6,68.6,0.0,1,5,0,1,insufficient_data,0.314,conceptual_misunderstanding,assign_worked_examples
S_A_091,A,5,Science,Chemistry,Physics,31.1,66,2,41.4,82.8,32.0,32.2,8,2,1,1,declining,0.68,prerequisite_gap,revisit_prerequisite_topic
S_A_092,A,5,Science,Chemistry,Physics,42.8,8,8,50.1,400.8,35.6,64.69,8,5,0,5,stuck,0.644,prerequisite_gap,revisit_prerequisite_topic
S_A_093,A,5,Science,Chemistry,Physics,42.6,78,7,29.8,208.6,67.4,60.72,3,3,0,3,stuck,0.326,prerequisite_gap,revisit_prerequisite_topic
S_A_094,A,5,Science,Chemistry,Physics,70.5,13,6,12.7,76.2,43.9,8.22,1,5,1,2,stuck,0.561,conceptual_misunderstanding,assign_worked_examples
S_A_095,A,5,Science,Chemistry,Physics,55.1,72,1,7.5,7.5,45.3,0.0,5,5,1,4,insufficient_data,0.547,guessing,enforce_reflection_before_submit
S_A_096,A,5,Science,Chemistry,Physics,70.1,7,5,16.2,81.0,55.3,41.07,5,0,0,3,improving,0.447,conceptual_misunderstanding,assign_worked_examples
S_A_097,A,5,Science,Biology,Chemistry,83.9,74,4,52.0,208.0,44.0,86.55,0,4,1,6,declining,0.56,unstable_understanding,spaced_repetition_practice
S_A_098,A,5,Science,Biology,Chemistry,60.8,90,5,50.7,253.5,70.7,8.15,0,0,0,6,stuck,0.293,none,maintain_current_pace
S_A_099,A,5,Science,Biology,Chemistry,44.8,59,6,30.4,182.4,56.8,121.23,0,5,0,1,stuck,0.432,prerequisite_gap,revisit_prerequisite_topic
S_A_100,A,5,Science,Biology,Chemistry,87.0,35,8,19.9,159.2,58.1,14.8,4,0,0,2,stuck,0.419,conceptual_misunderstanding,assign_worked_examples
S_A_101,A,5,Science,Biology,Chemistry,42.7,1,4,55.7,222.8,45.2,5.07,6,1,0,5,stuck,0.548,prerequisite_gap,revisit_prerequisite_topic
S_A_102,A,5,Science,Biology,Chemistry,64.0,30,6,79.7,478.2,73.3,59.94,6,2,0,1,stuck,0.267,none,maintain_current_pace
S_A_103,A,5,Science,Biology,Chemistry,23.2,22,8,71.6,572.8,54.4,83.15,5,1,0,6,stuck,0.456,prerequisite_gap,revisit_prerequisite_topic
S_A_104,A,5,Science,Biology,Chemistry,77.2,15,4,54.2,216.8,59.7,38.83,2,2,0,2,stuck,0.403,conceptual_misunderstanding,assign_worked_examples
S_A_105,A,5,Science,Biology,Chemistry,66.8,84,2,47.8,95.6,73.2,165.81,7,5,0,5,declining,0.268,none,maintain_current_pace
S_A_106,A,5,Science,Biology,Chemistry,63.1,83,6,58.1,348.6,43.8,10.26,8,0,0,4,stuck,0.562,conceptual_misunderstanding,assign_worked_examples
S_A_107,A,5,Science,Biology,Chemistry,78.8,37,2,40.6,81.2,43.0,174.65,6,3,1,6,improving,0.57,conceptual_misunderstanding,assign_worked_examples
S_A_108,A,5,Science,Biology,Chemistry,75.0,6,8,62.4,499.2,55.7,148.46,1,4,0,6,declining,0.443,unstable_understanding,spaced_repetition_practice
S_A_109,A,5,Science,Environmental Science,Biology,68.4,57,8,51.7,413.6,42.3,66.55,5,0,1,4,stuck,0.577,conceptual_misunderstanding,assign_worked_examples
S_A_110,A,5,Science,Environmental Science,Biology,50.1,37,5,29.0,145.0,30.9,72.83,6,1,1,1,stuck,0.691,prerequisite_gap,revisit_prerequisite_topic
S_A_111,A,5,Science,Environmental Science,Biology,75.0,40,7,21.2,148.4,55.8,114.37,0,2,0,3,stuck,0.442,unstable_understanding,spaced_repetition_practice
S_A_112,A,5,Science,Environmental Science,Biology,43.2,24,4,11.8,47.2,70.2,105.78,1,4,0,5,stuck,0.298,none,maintain_current_pace
S_A_113,A,5,Science,Environmental Science,Biology,81.0,5,6,5.0,30.0,84.4,60.92,7,0,0,4,stuck,0.156,none,maintain_current_pace
S_A_114,A,5,Science,Environmental Science,Biology,34.6,47,4,68.7,274.8,40.1,54.42,7,1,0,5,stuck,0.599,prerequisite_gap,revisit_prerequisite_topic
S_A_115,A,5,Science,Environmental Science,Biology,81.9,37,7,32.3,226.1,54.4,53.47,5,4,1,6,stuck,0.456,conceptual_misunderstanding,assign_worked_examples
S_A_116,A,5,Science,Environmental Science,Biology,81.9,37,2,5.0,10.0,71.0,25.53,6,0,0,2,improving,0.29,none,maintain_current_pace
S_A_117,A,5,Science,Environmental Science,Biology,56.3,58,6,58.5,351.0,49.4,18.91,1,5,1,2,stuck,0.506,forgetting,schedule_revision_session
S_A_118,A,5,Science,Environmental Science,Biology,71.6,61,3,50.6,151.8,65.3,2.77,0,2,0,2,stuck,0.347,forgetting,schedule_revision_session
S_A_119,A,5,Science,Environmental Science,Biology,73.6,78,7,7.8,54.6,74.9,34.37,7,4,0,5,stuck,0.251,none,maintain_current_pace
S_A_120,A,5,Science,Environmental Science,Biology,83.6,31,3,38.1,114.3,70.8,35.46,2,5,0,6,improving,0.292,none,maintain_current_pace
S_A_121,A,5,Science,Space Science,Environmental Science,100.0,9,1,69.7,69.7,66.9,0.0,6,2,0,3,insufficient_data,0.331,conceptual_misunderstanding,assign_worked_examples
S_A_122,A,5,Science,Space Science,Environmental Science,61.7,9,6,11.5,69.0,60.2,38.55,2,5,0,4,declining,0.398,unstable_understanding,spaced_repetition_practice
S_A_123,A,5,Science,Space Science,Environmental Science,75.1,90,8,5.0,40.0,46.1,47.73,8,3,1,5,stuck,0.539,guessing,enforce_reflection_before_submit
S_A_124,A,5,Science,Space Science,Environmental Science,57.2,83,4,36.1,144.4,49.7,46.23,6,3,1,4,declining,0.503,conceptual_misunderstanding,assign_worked_examples
S_A_125,A,5,Science,Space Science,Environmental Science,93.9,44,3,5.7,17.1,77.1,29.22,1,3,0,5,stuck,0.229,none,maintain_current_pace
S_A_126,A,5,Science,Space Science,Environmental Science,34.5,24,5,30.6,153.0,49.5,2.08,0,5,1,3,stuck,0.505,prerequisite_gap,revisit_prerequisite_topic
S_A_127,A,5,Science,Space Science,Environmental Science,46.4,79,7,24.3,170.1,92.0,30.05,7,0,0,2,stuck,0.08,none,maintain_current_pace
S_A_128,A,5,Science,Space Science,Environmental Science,59.1,9,4,39.3,157.2,43.4,43.71,5,2,1,1,stuck,0.566,conceptual_misunderstanding,assign_worked_examples
S_A_129,A,5,Science,Space Science,Environmental Science,42.2,51,6,21.2,127.2,41.5,48.37,4,5,1,5,stuck,0.585,prerequisite_gap,revisit_prerequisite_topic
S_A_130,A,5,Science,Space Science,Environmental Science,56.7,37,8,39.2,313.6,63.9,158.32,1,4,0,5,stuck,0.361,unstable_understanding,spaced_repetition_practice
S_A_131,A,5,Science,Space Science,Environmental Science,58.2,21,3,55.4,166.2,61.9,37.39,2,1,0,4,improving,0.381,unstable_understanding,spaced_repetition_practice
S_A_132,A,5,Science,Space Science,Environmental Science,84.6,48,8,40.2,321.6,77.8,100.58,1,1,0,3,stuck,0.222,none,maintain_current_pace
S_A_133,A,5,Social Science,History,none,100.0,0,2,5.0,10.0,58.5,41.7,8,5,0,5,declining,0.415,conceptual_misunderstanding,assign_worked_examples
S_A_134,A,5,Social Science,History,none,100.0,0,3,77.5,232.5,80.9,45.26,1,4,0,2,stuck,0.191,none,maintain_current_pace
S_A_135,A,5,Social Science,History,none,100.0,0,5,46.3,231.5,91.4,35.24,8,2,0,2,stuck,0.086,none,maintain_current_pace
S_A_136,A,5,Social Science,History,none,100.0,0,5,19.4,97.0,75.0,5.66,5,4,0,1,stuck,0.25,none,maintain_current_pace
S_A_137,A,5,Social Science,History,none,100.0,0,1,88.1,88.1,97.8,0.0,3,4,0,4,insufficient_data,0.022,none,maintain_current_pace
S_A_138,A,5,Social Science,History,none,100.0,0,1,15.6,15.6,58.9,0.0,4,5,0,3,insufficient_data,0.411,low_engagement,increase_interactive_activities
S_A_139,A,5,Social Science,History,none,100.0,0,8,36.5,292.0,100.0,8.93,5,5,0,3,stuck,0.0,none,maintain_current_pace
S_A_140,A,5,Social Science,History,none,100.0,0,7,51.4,359.8,90.6,12.04,6,1,0,2,stuck,0.094,none,maintain_current_pace
S_A_141,A,5,Social Science,History,none,100.0,0,6,58.8,352.8,100.0,3.65,1,3,0,5,stuck,0.0,none,maintain_current_pace
S_A_142,A,5,Social Science,History,none,100.0,0,8,14.8,118.4,90.2,43.23,6,1,0,3,stuck,0.098,none,maintain_current_pace
S_A_143,A,5,Social Science,History,none,100.0,0,6,23.9,143.4,81.2,53.15,8,2,0,5,improving,0.188,none,maintain_current_pace
S_A_144,A,5,Social Science,History,none,100.0,0,2,48.2,96.4,84.7,90.82,8,2,0,2,declining,0.153,none,maintain_current_pace
S_A_145,A,5,Social Science,Geography,History,99.9,26,7,27.4,191.8,79.9,30.55,2,3,0,5,stuck,0.201,none,maintain_current_pace
S_A_146,A,5,Social Science,Geography,History,83.9,39,6,5.2,31.2,70.3,18.06,6,4,0,3,stuck,0.297,none,maintain_current_pace
S_A_147,A,5,Social Science,Geography,History,70.4,89,1,5.0,5.0,54.1,0.0,3,5,0,4,insufficient_data,0.459,guessing,enforce_reflection_before_submit
S_A_148,A,5,Social Science,Geography,History,74.1,80,7,65.9,461.3,79.3,42.57,3,3,0,5,stuck,0.207,none,maintain_current_pace
S_A_149,A,5,Social Science,Geography,History,68.3,8,3,5.0,15.0,43.5,21.46,6,2,1,4,stuck,0.565,guessing,enforce_reflection_before_submit
S_A_150,A,5,Social Science,Geography,History,76.0,46,5,23.0,115.0,59.3,75.28,4,2,0,6,improving,0.407,unstable_understanding,spaced_repetition_practice
S_A_151,A,5,Social Science,Geography,History,69.5,41,8,72.7,581.6,42.9,103.88,2,2,0,6,stuck,0.571,unstable_understanding,spaced_repetition_practice
S_A_152,A,5,Social Science,Geography,History,21.3,11,6,67.4,404.4,26.6,11.01,1,4,1,2,stuck,0.734,prerequisite_gap,revisit_prerequisite_topic
S_A_153,A,5,Social Science,Geography,History,63.3,68,4,72.2,288.8,56.6,70.7,0,4,0,2,improving,0.434,forgetting,schedule_revision_session
S_A_154,A,5,Social Science,Geography,History,80.2,53,8,18.5,148.0,70.5,72.24,0,1,0,4,stuck,0.295,none,maintain_current_pace
S_A_155,A,5,Social Science,Geography,History,70.3,5,7,24.5,171.5,65.9,55.53,5,2,0,4,stuck,0.341,unstable_understanding,spaced_repetition_practice
S_A_156,A,5,Social Science,Geography,History,84.5,64,3,32.9,98.7,81.5,22.02,2,5,0,4,improving,0.185,none,maintain_current_pace
S_A_157,A,5,Social Science,Civics,Geography,44.9,2,6,5.0,30.0,54.6,67.91,1,3,1,2,stuck,0.454,prerequisite_gap,revisit_prerequisite_topic
S_A_158,A,5,Social Science,Civics,Geography,42.8,18,8,26.6,212.8,58.7,90.4,3,0,0,6,stuck,0.413,prerequisite_gap,revisit_prerequisite_topic
S_A_159,A,5,Social Science,Civics,Geography,73.4,52,5,49.5,247.5,57.5,103.31,7,1,0,4,improving,0.425,conceptual_misunderstanding,assign_worked_examples
S_A_160,A,5,Social Science,Civics,Geography,61.7,54,8,5.0,40.0,60.2,44.31,1,0,0,5,stuck,0.398,unstable_understanding,spaced_repetition_practice
S_A_161,A,5,Social Science,Civics,Geography,59.0,65,4,22.2,88.8,53.7,22.4,7,0,1,4,stuck,0.463,conceptual_misunderstanding,assign_worked_examples
S_A_162,A,5,Social Science,Civics,Geography,69.1,66,7,9.4,65.8,58.0,50.66,1,0,0,4,stuck,0.42,unstable_understanding,spaced_repetition_practice
S_A_163,A,5,Social Science,Civics,Geography,58.3,8,2,42.5,85.0,74.0,0.04,2,5,0,6,stuck,0.26,none,maintain_current_pace
S_A_164,A,5,Social Science,Civics,Geography,73.0,83,7,5.0,35.0,87.6,85.79,1,1,0,5,improving,0.124,none,maintain_current_pace
S_A_165,A,5,Social Science,Civics,Geography,88.5,51,3,32.5,97.5,63.1,4.89,8,3,0,5,stuck,0.369,forgetting,schedule_revision_session
S_A_166,A,5,Social Science,Civics,Geography,87.7,49,4,35.4,141.6,87.1,45.9,6,4,0,1,stuck,0.129,none,maintain_current_pace
S_A_167,A,5,Social Science,Civics,Geography,62.4,77,1,44.3,44.3,38.2,0.0,0,1,1,4,insufficient_data,0.618,forgetting,schedule_revision_session
S_A_168,A,5,Social Science,Civics,Geography,41.2,8,3,46.7,140.1,35.3,50.93,5,4,1,6,declining,0.647,prerequisite_gap,revisit_prerequisite_topic
S_A_169,A,5,Social Science,Economics,Civics,67.5,19,4,18.3,73.2,51.8,24.02,6,4,1,3,stuck,0.482,conceptual_misunderstanding,assign_worked_examples
S_A_170,A,5,Social Science,Economics,Civics,50.9,83,7,39.9,279.3,40.2,58.44,7,0,1,4,stuck,0.598,prerequisite_gap,revisit_prerequisite_topic
S_A_171,A,5,Social Science,Economics,Civics,88.8,72,3,20.3,60.9,81.3,17.33,8,5,0,2,stuck,0.187,none,maintain_current_pace
